"species","type"
"anchoa_hepsetus","fish"
"anchoa_mitchilli","fish"
"brevoortia_tyrannus","fish"
"brevoortia_sp","fish"
"chaetodipterus_faber","fish"
"ctenogobius_boleosoma","fish"
"ctenogobius_pseudofasciatus","fish"
"ctenogobius_sp","fish"
"cynoscion_nebulosus","fish"
"cynoscion_sp","fish"
"cynoscion_sp_2","fish"
"cyprinodon_variegatus","fish"
"callinectes_sapidus","invert"
"callinectes_similus","invert"
"callinectes_sp","invert"
"farfantepenaeus_aztecus","invert"
"litopenaeus_setiferus","invert"
"palaemonetes_sp","invert"
"lolliguncula_brevis","invert"
